"API","country","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"INTL.5-2-CPV-TBPD.A","Cabo Verde","4.4993315068493205","4.77217972602739","5.411581643835614","5.370859562841527","5.1383131506849296","5.50312191780822","6.406559999999994","5.5606049315068455","5.4268512328767144","5.8219792328767115","5.783461","6.06786","5.675467","",""
"INTL.5-2-KHM-TBPD.A","Cambodia","19.213917808219175","20.754109589041096","24.470739726027396","24.290628415300546","29.833917808219205","33.65860273972604","34.23216438356163","36.00720547945202","36.2697808219178","37.93180821917811","43","48.792568","50","",""
"INTL.5-2-CMR-TBPD.A","Cameroon","23.84051726027397","28.52901369863012","31.26447013698627","30.3884218579235","35.27573698630132","38.494989589041076","42.310597260274","39.18912219178082","30.7842115068493","42.40675835616435","39","38.52","36","",""
"INTL.5-2-CAN-TBPD.A","Canada","2316.468493","2311.616438","2401.098629","2311.426228","2256.641096","2364.30411","2392.336985","2437.614754","2417.728767","2389.139725","2440.342467","2465.603825","2464.010959","2525.2","2369.528768"
"INTL.5-2-CYM-TBPD.A","Cayman Islands","3.55958904109589","3.6110684931506833","4.310794520547946","4.433251366120222","4.116082191780817","4.127726027397262","4.367808219178082","4.013150684931503","3.9839726027397298","4.044249863013694","4.285205","4.219779","4.672349","",""
"INTL.5-2-CAF-TBPD.A","Central African Rep.","2.249912328767124","2.3564273972602736","2.4013753424657547","2.4376010928961738","2.444279452054795","2.527863013698631","2.6422575342465753","2.748016438356165","2.739443835616439","2.76932602739726","2.799206","2.819484","2.637154","",""
"INTL.5-2-TCD-TBPD.A","Chad","1.801802739726027","1.828372602739726","1.844723287671232","1.8506284153005483","1.957890410958908","2.122958904109592","2.231282191780822","2.231282191780822","2.255808219178082","2.255808219178082","2.306495342465769","2.335517808219199","2.322814","",""
"INTL.5-2-CHL-TBPD.A","Chile","272.345206","278.172602","351.490411","369.333333","348.350685","322.29589","332.052054","332.06284","339.441096","336.364384","330.509588","351.959016","357.172604","363.430136","368.863014"
"INTL.5-2-CHN-TBPD.A","China","6970.258","7493.351","7923.259","8041.343","8497.269","9339.164","10053.344","10549.592","11159.600461","11552.746644","12516.822748","13036.637779","13566.827178","",""
"INTL.5-2-COL-TBPD.A","Colombia","273.7817391780822","284.64951671232876","269.6915265753424","274.14818688524593","259.3231528767124","268.4375561643834","307.29781589041096","326.70312767123295","328.8802115068491","340.3430597260272","335","352","338","",""
