"API","country","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"INTL.53-1-HRV-TBPD.A","Croatia","27.690534246575343","25.62868493150685","23.835613698630137","22.098666666666666","24.44482191780822","23.606561643835615","21.352054794520548","20.685333333333332","20.625260273972604","20.049630136986302","18.68517808219178","18.527967213114753","18.926","18.841068493150686","18.339698630136986"
"INTL.53-1-CUB-TBPD.A","Cuba","53.455","52.25","51.634","50.699","46.342","56.489","58.401","55.29450273224044","53.526","53.169","50.335","49.73733333333333","49.904","49.904","49.904"
"INTL.53-1-CYP-TBPD.A","Cyprus","0.02","0.02","0.02","0.2","0.2","0.11","0.13","0.13","0.04","0.03","0.02","0.01","0","0","0"
"INTL.53-1-CZE-TBPD.A","Czechia","17.544068493150686","16.089369863013697","13.743698630136986","11.62656830601093","10.390109589041096","15.764780821917808","16.278931506849315","16.75","14.43","17.815","18.051616438356163","15.586333333333334","19.765","19.765","19.430753424657535"
"INTL.53-1-CIV-TBPD.A","Côte d'Ivoire","39.936","63.297","53.044","59.93202732240437","58.480260273972604","44.541876712328765","40.27404109589041","38.71330054644809","38.083","37.04","30.943301369863015","41.881590163934426","55.357","53.357","51.357"
"INTL.53-1-DNK-TBPD.A","Denmark","380.7835698630137","345.75681369863014","315.2797123287671","290.4678879781421","264.30768493150686","249.2904301369863","225.07534520547946","205.91418306010928","180.12616712328767","169.62871232876714","160.76157534246576","145.67361202185793","142.4461506849315","123.5502602739726","110.44341095890411"
"INTL.53-1-DJI-TBPD.A","Djibouti","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-DMA-TBPD.A","Dominica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-DOM-TBPD.A","Dominican Rep.","-0.389","-0.309","-0.392","-0.266","0.035","-0.041","-0.104","-0.103","-0.112","-0.038","-0.116","-0.116","-0.116","-0.116","-0.116"
"INTL.53-1-ECU-TBPD.A","Ecuador","532.7554","536.3802191780821","511.4226","505.26866393442623","485.70717534246575","486.0975205479452","498.98002191780824","503.39607923497266","525.454408219178","556.0120575342465","542.546501369863","548.3787650273224","531.2812876712329","517.0785479452055","530.8621095890411"
"INTL.53-1-EGY-TBPD.A","Egypt","682.7735479452055","662.735904109589","658.8939726027397","691.0547704918033","701.3859315068493","694.5144246575343","701.7456438356164","703.8978196721312","707.0143835616439","706.6114520547945","717.6934246575343","682.9041420765027","657.9684657534247","667.7958630136986","654.2588767123287"
"INTL.53-1-SLV-TBPD.A","El Salvador","0.966","5.308","4.297","4.182","1.772","-0.52","-0.377","-0.317","0","0","0","0","0","0","0"
"INTL.53-1-GNQ-TBPD.A","Equatorial Guinea","375.4767123287671","362.86575342465756","368.52876712328765","359.20315300546446","346.01606849315067","322.7103835616438","298.8880328767123","310.4","290.7972602739726","278","268","244","205.7780821917808","184.23287671232876","166.76712328767124"
"INTL.53-1-ERI-TBPD.A","Eritrea","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-EST-TBPD.A","Estonia","6.9","7.28","7.400021917808219","7.6","9","10","11","11","13","13","16","16","16","22","22"
"INTL.53-1-SWZ-TBPD.A","Eswatini","0","0","0","0","0","0.431","0.551","0.827","0.827","0.775","0.81","0.775","0.775","0.775","0.775"
"INTL.53-1-ETH-TBPD.A","Ethiopia","0","0","0","0.1","0.1","0.1","0.1","0.1","0.167","0.211","0.296","0.354","0.354","0.354","0.354"
"INTL.53-1-FLK-TBPD.A","Falkland Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-FRO-TBPD.A","Faroe Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-FJI-TBPD.A","Fiji","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-FIN-TBPD.A","Finland","9.171","10.111","9.789","8.718","9.541","16.195","14.727","15.878","17.436","18.484","18.484","12.582","18.196","18.196","18.196"
"INTL.53-1-CSK-TBPD.A","Former Czechoslovakia","","","","","","","","","","","","","","",""
"INTL.53-1-SCG-TBPD.A","Former Serbia and Montenegro","15.585643835616438","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-SUN-TBPD.A","Former U.S.S.R.","","","","","","","","","","","","","","",""
"INTL.53-1-YUG-TBPD.A","Former Yugoslavia","","","","","","","","","","","","","","",""
"INTL.53-1-FRA-TBPD.A","France","84.2497397260274","89.19898630136986","74.63250684931506","77.166","76.31168493150685","133.3539315068493","129.46713698630137","125.14536612021858","127.3887397260274","128.94398630136988","132.33323287671232","133.01403278688525","121.10112328767123","116.52030136986302","115.4244109589041"
"INTL.53-1-GUF-TBPD.A","French Guiana","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-PYF-TBPD.A","French Polynesia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-GAB-TBPD.A","Gabon","266.0289095890411","236.88272602739727","243.8965890410959","247.74861202185792","241.92776712328768","245.27771232876714","240.77242465753426","229.617","219.546","219.576","212.93676712328767","210.42767213114755","198.45731506849316","195.44361643835617","201.38882191780823"
"INTL.53-1-GMB-TBPD.A","Gambia, The","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-GEO-TBPD.A","Georgia","1.977","0.995","0.984","0.979","0.993","1","1","1.007","1","1","0.7934520547945205","0.394","0.394","0.394","0.394"
"INTL.53-1-DEU-TBPD.A","Germany","177.50202739726026","193.18642465753425","145.46402739726028","154.69496721311475","157.23850684931506","215.117","222.087","215.367","212.80038356164383","207.66067123287672","207.64401369863015","311.71043169398905","207.616698630137","211.02217808219177","208.03861643835617"
"INTL.53-1-DDR-TBPD.A","Germany, East","","","","","","","","","","","","","","",""
"INTL.53-1-DEUW-TBPD.A","Germany, West","","","","","","","","","","","","","","",""
"INTL.53-1-GHA-TBPD.A","Ghana","7.399","7.081","7.691","7.227","6.888","8.514041095890411","77.77832876712328","79.2531912568306","98.86032876712329","105.73217808219178","103.10916438356165","99.11365573770492","151.7310821917808","173.59135616438357","200.09272602739725"
"INTL.53-1-GIB-TBPD.A","Gibraltar","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-GRC-TBPD.A","Greece","5.746493150684931","6.5843561643835615","5.1375753424657535","6.612","6.416671232876713","10.730246575342466","9.76768493150685","11.727398907103826","11.919575342465754","12.438643835616439","12.976712328767123","15.748131147540983","13.504424657534246","14.833191780821918","14.164698630136986"
"INTL.53-1-GRL-TBPD.A","Greenland","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-GRD-TBPD.A","Grenada","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-GLP-TBPD.A","Guadeloupe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-GUM-TBPD.A","Guam","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-GTM-TBPD.A","Guatemala","17.173424657534248","21.464657534246577","18.7408","18.442081967213113","16.544","11.97118904109589","10.9673698630137","12.582696721311475","12.053594520547945","12.472783561643835","12.74593698630137","12.032702185792349","13.683753424657533","13.593342465753425","13.511150684931508"
"INTL.53-1-GIN-TBPD.A","Guinea","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-GNB-TBPD.A","Guinea-Bissau","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-GUY-TBPD.A","Guyana","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.717808219178082"
